ax,ay,az,ex,ey,ez,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.490000,1.490000,-0.440000,0.000000,0.000000,0.000000,-16.125000,99.312500,-59.375000,0.000000,0.000000,0.000000,0.144470,0.902466,0.394775,0.093994,76.000000,0.000000,3.000000,3.000000,3.000000,1579.315000,156205.000000
0.450000,1.010000,-0.180000,0.000000,0.000000,0.000000,-9.187500,93.000000,-57.750000,0.000000,0.000000,0.000000,0.142517,0.899658,0.400208,0.100708,76.000000,0.000000,3.000000,3.000000,3.000000,1579.325000,156206.000000
0.340000,0.760000,0.260000,0.000000,0.000000,0.000000,-6.250000,88.687500,-55.750000,0.000000,0.000000,0.000000,0.140503,0.896912,0.405457,0.106995,76.000000,0.000000,3.000000,3.000000,3.000000,1579.335000,156207.000000
0.320000,0.490000,0.490000,0.000000,0.000000,0.000000,-5.312500,88.062500,-55.000000,0.000000,0.000000,0.000000,0.138367,0.894104,0.410583,0.113159,76.000000,0.000000,3.000000,3.000000,3.000000,1579.345000,156208.000000
0.270000,0.370000,0.740000,0.000000,0.000000,0.000000,-6.937500,89.500000,-53.000000,0.000000,0.000000,0.000000,0.136292,0.891296,0.415527,0.119568,76.000000,0.000000,3.000000,3.000000,3.000000,1579.355000,156209.000000
0.280000,0.470000,1.000000,0.000000,0.000000,0.000000,-10.875000,93.250000,-49.875000,0.000000,0.000000,0.000000,0.134338,0.888489,0.420227,0.126404,76.000000,0.000000,3.000000,3.000000,3.000000,1579.365000,156210.000000
0.250000,0.220000,1.270000,0.000000,0.000000,0.000000,-12.062500,97.625000,-47.937500,0.000000,0.000000,0.000000,0.132263,0.885559,0.424805,0.133606,76.000000,0.000000,3.000000,3.000000,3.000000,1579.375000,156211.000000
0.160000,0.070000,1.430000,0.000000,0.000000,0.000000,-10.062500,102.312500,-45.562500,0.000000,0.000000,0.000000,0.129883,0.882568,0.429260,0.141113,76.000000,0.000000,3.000000,3.000000,3.000000,1579.385000,156212.000000
0.340000,0.320000,1.620000,0.000000,0.000000,0.000000,-6.500000,106.312500,-42.312500,0.000000,0.000000,0.000000,0.127014,0.879700,0.433472,0.148804,76.000000,0.000000,3.000000,3.000000,3.000000,1579.395000,156213.000000
0.250000,0.440000,1.640000,0.000000,0.000000,0.000000,0.437500,108.250000,-42.625000,0.000000,0.000000,0.000000,0.123596,0.876709,0.437744,0.156372,76.000000,0.000000,3.000000,3.000000,3.000000,1579.405000,156214.000000
0.400000,-0.350000,1.460000,0.000000,0.000000,0.000000,11.625000,106.500000,-45.437500,0.000000,0.000000,0.000000,0.119385,0.873718,0.442383,0.163330,76.000000,0.000000,3.000000,3.000000,3.000000,1579.415000,156215.000000
0.580000,-0.730000,1.390000,0.000000,0.000000,0.000000,18.562500,103.812500,-49.000000,0.000000,0.000000,0.000000,0.114807,0.870605,0.447266,0.169800,76.000000,0.000000,3.000000,3.000000,3.000000,1579.425000,156216.000000
0.400000,-0.480000,1.290000,0.000000,0.000000,0.000000,16.687500,100.062500,-50.562500,0.000000,0.000000,0.000000,0.110474,0.867371,0.452209,0.176025,76.000000,0.000000,3.000000,3.000000,3.000000,1579.435000,156217.000000
0.500000,0.120000,1.060000,0.000000,0.000000,0.000000,10.312500,97.375000,-52.437500,0.000000,0.000000,0.000000,0.106812,0.863953,0.457092,0.182312,76.000000,0.000000,3.000000,3.000000,3.000000,1579.445000,156218.000000
0.470000,-0.060000,1.070000,0.000000,0.000000,0.000000,7.500000,94.812500,-54.500000,0.000000,0.000000,0.000000,0.103394,0.860413,0.461975,0.188416,76.000000,0.000000,3.000000,3.000000,3.000000,1579.455000,156219.000000
0.320000,0.080000,1.100000,0.000000,0.000000,0.000000,9.562500,91.812500,-57.750000,0.000000,0.000000,0.000000,0.100037,0.856750,0.467163,0.194214,76.000000,0.000000,3.000000,3.000000,3.000000,1579.465000,156220.000000
0.420000,0.190000,0.930000,0.000000,0.000000,0.000000,13.687500,87.187500,-63.562500,0.000000,0.000000,0.000000,0.096680,0.852905,0.472656,0.199463,76.000000,0.000000,3.000000,3.000000,3.000000,1579.475000,156221.000000
0.480000,-0.430000,1.110000,0.000000,0.000000,0.000000,18.625000,76.812500,-72.687500,0.000000,0.000000,0.000000,0.093445,0.848816,0.478821,0.203613,76.000000,0.000000,3.000000,3.000000,3.000000,1579.485000,156222.000000
0.410000,-0.420000,1.100000,0.000000,0.000000,0.000000,18.375000,64.375000,-81.937500,0.000000,0.000000,0.000000,0.090942,0.844543,0.485535,0.206848,76.000000,0.000000,3.000000,3.000000,3.000000,1579.495000,156223.000000
0.460000,-0.310000,1.040000,0.000000,0.000000,0.000000,14.062500,50.187500,-89.937500,0.000000,0.000000,0.000000,0.089478,0.840027,0.492554,0.209167,76.000000,0.000000,3.000000,3.000000,3.000000,1579.505000,156224.000000
0.640000,-0.010000,1.070000,0.000000,0.000000,0.000000,8.812500,33.562500,-95.750000,0.000000,0.000000,0.000000,0.089111,0.835510,0.499756,0.210449,76.000000,0.000000,3.000000,3.000000,3.000000,1579.515000,156225.000000
0.620000,0.660000,1.130000,0.000000,0.000000,0.000000,6.687500,17.625000,-99.437500,0.000000,0.000000,0.000000,0.089661,0.830994,0.507019,0.210632,76.000000,0.000000,3.000000,3.000000,3.000000,1579.525000,156226.000000
0.740000,0.560000,1.270000,0.000000,0.000000,0.000000,7.937500,5.625000,-99.625000,0.000000,0.000000,0.000000,0.090637,0.826660,0.514160,0.209961,76.000000,0.000000,3.000000,3.000000,3.000000,1579.535000,156227.000000
0.780000,0.180000,1.300000,0.000000,0.000000,0.000000,11.500000,-0.562500,-95.875000,0.000000,0.000000,0.000000,0.091492,0.822571,0.521057,0.208679,76.000000,0.000000,3.000000,3.000000,3.000000,1579.545000,156228.000000
0.860000,0.300000,1.410000,0.000000,0.000000,0.000000,14.187500,-2.500000,-89.250000,0.000000,0.000000,0.000000,0.092224,0.818726,0.527466,0.207214,76.000000,0.000000,3.000000,3.000000,3.000000,1579.555000,156229.000000
0.860000,0.920000,1.550000,0.000000,0.000000,0.000000,15.375000,-3.625000,-83.250000,0.000000,0.000000,0.000000,0.092773,0.815186,0.533447,0.205627,76.000000,0.000000,3.000000,3.000000,3.000000,1579.565000,156230.000000
1.050000,0.660000,1.660000,0.000000,0.000000,0.000000,24.500000,-8.625000,-88.750000,0.000000,0.000000,0.000000,0.093018,0.811523,0.539917,0.203186,76.000000,0.000000,3.000000,3.000000,3.000000,1579.575000,156231.000000
1.530000,-0.560000,1.920000,0.000000,0.000000,0.000000,38.125000,-21.625000,-102.500000,0.000000,0.000000,0.000000,0.093140,0.807495,0.547363,0.199158,76.000000,0.000000,3.000000,3.000000,3.000000,1579.585000,156232.000000
1.720000,-1.750000,2.260000,0.000000,0.000000,0.000000,38.000000,-40.187500,-110.500000,0.000000,0.000000,0.000000,0.094238,0.803284,0.555237,0.193787,76.000000,0.000000,3.000000,3.000000,3.000000,1579.595000,156233.000000
1.790000,-1.380000,2.340000,0.000000,0.000000,0.000000,25.562500,-61.375000,-113.062500,0.000000,0.000000,0.000000,0.097229,0.799133,0.562805,0.187500,76.000000,0.000000,3.000000,3.000000,3.000000,1579.605000,156234.000000
2.020000,-1.470000,2.360000,0.000000,0.000000,0.000000,16.875000,-81.125000,-116.125000,0.000000,0.000000,0.000000,0.101807,0.794983,0.570190,0.180237,76.000000,0.000000,3.000000,3.000000,3.000000,1579.615000,156235.000000
1.940000,-2.100000,2.490000,0.000000,0.000000,0.000000,10.375000,-101.562500,-119.125000,0.000000,0.000000,0.000000,0.107788,0.790833,0.577454,0.171875,76.000000,0.000000,3.000000,3.000000,3.000000,1579.625000,156236.000000
2.470000,-1.730000,2.860000,0.000000,0.000000,0.000000,-1.062500,-121.937500,-119.562500,0.000000,0.000000,0.000000,0.115540,0.786682,0.584229,0.162720,76.000000,0.000000,3.000000,3.000000,3.000000,1579.635000,156237.000000
2.550000,-2.410000,3.150000,0.000000,0.000000,0.000000,-5.000000,-143.125000,-119.062500,0.000000,0.000000,0.000000,0.124573,0.782654,0.590576,0.152222,76.000000,0.000000,3.000000,3.000000,3.000000,1579.645000,156238.000000
2.900000,-3.340000,3.300000,0.000000,0.000000,0.000000,-3.625000,-156.937500,-115.250000,0.000000,0.000000,0.000000,0.134094,0.778748,0.596436,0.140808,76.000000,0.000000,3.000000,3.000000,3.000000,1579.655000,156239.000000
3.170000,-3.480000,3.510000,0.000000,0.000000,0.000000,-6.750000,-168.937500,-108.187500,0.000000,0.000000,0.000000,0.144348,0.775146,0.601501,0.128784,76.000000,0.000000,3.000000,3.000000,3.000000,1579.665000,156240.000000
3.430000,-3.570000,3.910000,0.000000,0.000000,0.000000,-9.562500,-185.187500,-98.625000,0.000000,0.000000,0.000000,0.155396,0.771912,0.605469,0.115967,76.000000,0.000000,3.000000,3.000000,3.000000,1579.675000,156241.000000
3.280000,-3.810000,4.420000,0.000000,0.000000,0.000000,-4.375000,-199.062500,-91.000000,0.000000,0.000000,0.000000,0.166748,0.768982,0.608643,0.101990,76.000000,0.000000,3.000000,3.000000,3.000000,1579.685000,156242.000000
3.230000,-4.350000,4.860000,0.000000,0.000000,0.000000,2.687500,-204.187500,-81.000000,0.000000,0.000000,0.000000,0.177734,0.766479,0.610962,0.087402,76.000000,0.000000,3.000000,3.000000,3.000000,1579.695000,156243.000000
2.690000,-5.100000,5.560000,0.000000,0.000000,0.000000,6.812500,-194.562500,-69.187500,0.000000,0.000000,0.000000,0.187805,0.764343,0.612488,0.073425,76.000000,0.000000,3.000000,3.000000,3.000000,1579.705000,156244.000000
2.770000,-4.820000,5.410000,0.000000,0.000000,0.000000,2.812500,-169.000000,-56.625000,0.000000,0.000000,0.000000,0.196716,0.762390,0.613403,0.061462,76.000000,0.000000,3.000000,3.000000,3.000000,1579.715000,156245.000000
3.220000,-4.550000,5.100000,0.000000,0.000000,0.000000,3.187500,-136.937500,-43.937500,0.000000,0.000000,0.000000,0.203796,0.760864,0.613953,0.051758,76.000000,0.000000,3.000000,3.000000,3.000000,1579.725000,156246.000000
3.500000,-4.560000,4.390000,0.000000,0.000000,0.000000,17.625000,-108.500000,-27.687500,0.000000,0.000000,0.000000,0.208374,0.760132,0.613892,0.043335,76.000000,0.000000,3.000000,3.000000,3.000000,1579.735000,156247.000000
